DEPARTMENT Name:,Address:,Mobile No,Email ID,Name of User,Specification,Processor,Brand,Model No,M/C Serial No:,Installation Date:,Warranty Period:,Warranty Expiry Date:,Room No:,Windows Key:,Windows Version:,MS Office Key:,MS Office Version:,Antivirus Batchnumber,Antivirus Serial Key,Antivirus Name:,Antivirus Validity:,Category
Camp Office Directorate-Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5501FZZ,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Government Press Aishbagh,"Printing and Stationary Department, Mill Road, Aishbagh, Lucknow, Uttar Pradesh Lucknow, Uttar Pradesh-226004",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8665501G3F,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Government Press Aishbagh,"Printing and Stationary Department, Mill Road, Aishbagh, Lucknow, Uttar Pradesh Lucknow, Uttar Pradesh-226004",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8665501FRS,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5501G3X,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5501G2D,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5511JHL,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Directorate of Printing and Stationary ,"Directorate of Printing and Stationary, 14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5511G3M,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Directorate of Printing and Stationary ,"Directorate of Printing and Stationary, 14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5501FYF,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Directorate of Printing and Stationary ,"Directorate of Printing and Stationary, 14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5501FRG,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Directorate of Printing and Stationary ,"Directorate of Printing and Stationary, 14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5511C4K,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Directorate of Printing and Stationary ,"Directorate of Printing and Stationary, 14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5511CTP,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
Directorate of Printing and Stationary ,"Directorate of Printing and Stationary, 14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",,,,HP AIO ULTRA7 1024GB SSD 16GB W11 OFF Quickheal,i7,HP,HP AIO 440 G9,8CC5501FZ6,,,,,,Windows 11 Professional,,MS Office 2021,,,Quick Heal,3 Years,PC
